filename,width,height,jpeg_quality,size_kb,alt
svc-about.jpg,1920,1080,92,348.6,광주 전남 장례 통합 플랫폼 빛고을 장례119 소개
svc-faq.jpg,1920,1080,92,238.6,광주 전남 장례 상담 자주 묻는 질문 안내
news-1.jpg,1920,1080,62,75.0,광주 수목장 비용과 자연장 상담 정보
news-2.jpg,1920,1080,92,301.7,광주 전남 봉안당 선택과 추모시설 안내
svc-hall.jpg,1920,1080,92,261.0,광주 전남 장례식장 연결과 빈소 상담
svc-burial.jpg,1920,1080,92,320.5,광주 전남 수목장 봉안당 자연장 상담
svc-relocation.jpg,1920,1080,92,229.3,광주 전남 묘 이장 개장 절차 상담
svc-simple.jpg,1920,1080,62,77.8,광주 전남 무빈소 장례와 소규모 가족장 상담
news-3.jpg,1920,1080,92,305.1,가족장 일반장 비용과 장례 절차 정보
news-4.jpg,1920,1080,92,226.6,묘 이장 개장 절차와 준비사항 안내
consult-bg.jpg,1920,1080,92,251.3,빛고을 장례119 전문 장례 상담 배경
cta-bg.jpg,1920,1080,62,67.1,빛고을 장례119 24시간 상담 안내 배경
stone-path.jpg,1920,1080,92,270.6,평온한 추모공원과 자연장 산책로
flower-detail.jpg,1920,1080,62,73.0,흰 국화로 표현한 차분한 추모 이미지
sunrise-valley.jpg,1920,1080,62,78.3,따뜻한 일출과 평온한 추모 풍경
living-room.jpg,1920,1080,62,43.9,사전 장례 상담을 위한 편안한 공간
